127.0.0.1 - - [20/Dec/2023:14:11:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Dec/2023:14:11:55 +0900] "GET /chap01/hello.html HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [20/Dec/2023:14:11:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2023:14:12:58 +0900] "GET /chap01/hello.html HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [20/Dec/2023:14:21:44 +0900] "GET /chap01/hello.html HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [20/Dec/2023:14:52:32 +0900] "GET /chap01/Tutorial/how_to_use.html HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Dec/2023:14:56:34 +0900] "GET /chap01/Tutorial/how_to_use.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [20/Dec/2023:15:03:56 +0900] "GET /chap01/Tutorial/how_to_use.html HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [20/Dec/2023:15:51:53 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [20/Dec/2023:15:52:02 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:15:56:33 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:05:35 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:05:35 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:05:42 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:05:42 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:15 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:15 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:15 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:16 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:22 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:22 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:22 +0900] "GET /chap01/Tutorial/http_protocol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:06:22 +0900] "GET /chap01/Tutorial/protocol.css HTTP/1.1" 304 -
